run_uuid,hostname,run_num,total_runs,exp_command,exp_number,order_number,order_type,time_start,time_stop,completion_status,result
ca730d3b-2d33-11ec-a6d8-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_memory.sh -n 0 -d 1 -b stream -t MT -s 100 -u 200,0,0,fixed,1.257861912,1.287414089,Success,"33888.15,33794.10,38016.58,38157.31"
ca730d3b-2d33-11ec-a6d8-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,1.287736509,1.29863199,Success,6.868
ca730d3b-2d33-11ec-a6d8-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,1.298925669,1.312473971,Success,10.904
ca730d3b-2d33-11ec-a6d8-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,1.312776851,1.320322033,Success,1.941
ca730d3b-2d33-11ec-a6d8-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,1.320611938,1.330303167,Success,4.904
ca730d3b-2d33-11ec-a6d8-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,1.330597662,1.372211893,Success,27.979
ca730d3b-2d33-11ec-a6d8-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,1.372535335,1.381149369,Success,3.573
ca730d3b-2d33-11ec-a6d8-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,1.381438196,1.395168059,Success,10.416
ca730d3b-2d33-11ec-a6d8-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,1.395459934,1.404618712,Success,4.549
ca730d3b-2d33-11ec-a6d8-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,1.404943888,1.413490874,Success,3.583
ab4455ef-2d34-11ec-9f3a-1458d0584f82,hp065.utah.cloudlab.us,1,120,/bin/bash ~/os-benchmarks/scripts/run_memory.sh -n 0 -d 1 -b stream -t MT -s 100 -u 200,0,0,fixed,1.454356566,1.48298223,Success,"33898.07,33813.48,38051.40,38172.00"
