run_uuid,hostname,run_num,total_runs,exp_command,exp_number,order_number,order_type,time_start,time_stop,completion_status,result
5535542d-2f7d-11ec-a371-1458d0584f82,hp065.utah.cloudlab.us,2,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,1.70836664,1.715885659,Success,1.972
5535542d-2f7d-11ec-a371-1458d0584f82,hp065.utah.cloudlab.us,2,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,1.716179944,1.726262181,Success,4.919
5535542d-2f7d-11ec-a371-1458d0584f82,hp065.utah.cloudlab.us,2,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,1.726557894,1.767683849,Success,27.988
5535542d-2f7d-11ec-a371-1458d0584f82,hp065.utah.cloudlab.us,2,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,1.76802613,1.776542504,Success,3.539
5535542d-2f7d-11ec-a371-1458d0584f82,hp065.utah.cloudlab.us,2,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,1.776857978,1.790352708,Success,10.413
5535542d-2f7d-11ec-a371-1458d0584f82,hp065.utah.cloudlab.us,2,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,1.790639461,1.799633318,Success,4.487
5535542d-2f7d-11ec-a371-1458d0584f82,hp065.utah.cloudlab.us,2,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,1.799919399,1.808460218,Success,3.595
361099ae-2f7e-11ec-a8f3-1458d0584f82,hp065.utah.cloudlab.us,3,240,/bin/bash ~/os-benchmarks/scripts/run_memory.sh -n 0 -d 1 -b stream -t MT -s 100 -u 200,0,0,fixed,1.848839467,1.877994384,Success,"33030.07,32886.15,37218.67,37308.60"
361099ae-2f7e-11ec-a8f3-1458d0584f82,hp065.utah.cloudlab.us,3,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,1.878286173,1.888978334,Success,6.916
361099ae-2f7e-11ec-a8f3-1458d0584f82,hp065.utah.cloudlab.us,3,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,1.88928387,1.902785745,Success,11.148
361099ae-2f7e-11ec-a8f3-1458d0584f82,hp065.utah.cloudlab.us,3,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,1.903085347,1.910299945,Success,1.950
