,run_uuid,hostname,run_num,total_runs,exp_command,exp_number,order_number,order_type,time_start,time_stop,completion_status,result
43,9fa196da-2f8e-11ec-901f-ecb1d7853a62,hp055.utah.cloudlab.us,4,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,2.292569223,2.299867719,Success,1.939
44,9fa196da-2f8e-11ec-901f-ecb1d7853a62,hp055.utah.cloudlab.us,4,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,2.300177335,2.309601999,Success,4.873
45,9fa196da-2f8e-11ec-901f-ecb1d7853a62,hp055.utah.cloudlab.us,4,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,2.309913278,2.350220241,Success,28.085
46,9fa196da-2f8e-11ec-901f-ecb1d7853a62,hp055.utah.cloudlab.us,4,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,2.350518195,2.358814895,Success,3.502
47,9fa196da-2f8e-11ec-901f-ecb1d7853a62,hp055.utah.cloudlab.us,4,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,2.359105065,2.372371437,Success,10.401
48,9fa196da-2f8e-11ec-901f-ecb1d7853a62,hp055.utah.cloudlab.us,4,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,2.372734937,2.381581938,Success,4.424
49,9fa196da-2f8e-11ec-901f-ecb1d7853a62,hp055.utah.cloudlab.us,4,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,2.381871772,2.390079206,Success,3.588
50,7ffa831c-2f8f-11ec-83dc-ecb1d7853a62,hp055.utah.cloudlab.us,5,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,0,random,2.428991606,2.440979756,Success,6.842
51,7ffa831c-2f8f-11ec-83dc-ecb1d7853a62,hp055.utah.cloudlab.us,5,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,1,random,2.44127369,2.45067132,Success,4.885
52,7ffa831c-2f8f-11ec-83dc-ecb1d7853a62,hp055.utah.cloudlab.us,5,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,2,random,2.450960548,2.464206046,Success,10.387
54,7ffa831c-2f8f-11ec-83dc-ecb1d7853a62,hp055.utah.cloudlab.us,5,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,4,random,2.491081488,2.504390154,Success,10.911
55,7ffa831c-2f8f-11ec-83dc-ecb1d7853a62,hp055.utah.cloudlab.us,5,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,5,random,2.504682094,2.512838331,Success,3.566
56,7ffa831c-2f8f-11ec-83dc-ecb1d7853a62,hp055.utah.cloudlab.us,5,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,6,random,2.513123289,2.522049602,Success,4.485
57,7ffa831c-2f8f-11ec-83dc-ecb1d7853a62,hp055.utah.cloudlab.us,5,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,7,random,2.522338515,2.529621507,Success,1.937
58,7ffa831c-2f8f-11ec-83dc-ecb1d7853a62,hp055.utah.cloudlab.us,5,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,8,random,2.529948101,2.538163453,Success,3.537
59,7ffa831c-2f8f-11ec-83dc-ecb1d7853a62,hp055.utah.cloudlab.us,5,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,9,random,2.538447464,2.578485923,Success,27.892
61,60620e15-2f90-11ec-9969-ecb1d7853a62,hp055.utah.cloudlab.us,6,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,2.647325066,2.657743156,Success,6.852
62,60620e15-2f90-11ec-9969-ecb1d7853a62,hp055.utah.cloudlab.us,6,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,2.658044753,2.671193592,Success,10.858
63,60620e15-2f90-11ec-9969-ecb1d7853a62,hp055.utah.cloudlab.us,6,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,2.671486764,2.678809883,Success,1.942
64,60620e15-2f90-11ec-9969-ecb1d7853a62,hp055.utah.cloudlab.us,6,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,2.679123789,2.688440056,Success,4.876
65,60620e15-2f90-11ec-9969-ecb1d7853a62,hp055.utah.cloudlab.us,6,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,2.688727555,2.729158556,Success,27.781
66,60620e15-2f90-11ec-9969-ecb1d7853a62,hp055.utah.cloudlab.us,6,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,2.729519796,2.737961648,Success,3.518
67,60620e15-2f90-11ec-9969-ecb1d7853a62,hp055.utah.cloudlab.us,6,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,2.738249273,2.751914814,Success,10.383
68,60620e15-2f90-11ec-9969-ecb1d7853a62,hp055.utah.cloudlab.us,6,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,2.752252855,2.761182261,Success,4.466
69,60620e15-2f90-11ec-9969-ecb1d7853a62,hp055.utah.cloudlab.us,6,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,2.761470066,2.769867693,Success,3.573
70,40a7188a-2f91-11ec-b0b9-ecb1d7853a62,hp055.utah.cloudlab.us,7,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,0,random,2.809179682,2.823850361,Success,10.364
71,40a7188a-2f91-11ec-b0b9-ecb1d7853a62,hp055.utah.cloudlab.us,7,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,1,random,2.824143659,2.831512797,Success,1.955
72,40a7188a-2f91-11ec-b0b9-ecb1d7853a62,hp055.utah.cloudlab.us,7,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,2,random,2.831799309,2.840046748,Success,3.539
73,40a7188a-2f91-11ec-b0b9-ecb1d7853a62,hp055.utah.cloudlab.us,7,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,3,random,2.840338863,2.880242505,Success,27.992
74,40a7188a-2f91-11ec-b0b9-ecb1d7853a62,hp055.utah.cloudlab.us,7,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,4,random,2.880545701,2.88946487,Success,4.478
76,40a7188a-2f91-11ec-b0b9-ecb1d7853a62,hp055.utah.cloudlab.us,7,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,6,random,2.917614538,2.930804136,Success,10.821
77,40a7188a-2f91-11ec-b0b9-ecb1d7853a62,hp055.utah.cloudlab.us,7,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,7,random,2.931138679,2.940449566,Success,4.887
78,40a7188a-2f91-11ec-b0b9-ecb1d7853a62,hp055.utah.cloudlab.us,7,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,8,random,2.940772447,2.951162925,Success,6.821
79,40a7188a-2f91-11ec-b0b9-ecb1d7853a62,hp055.utah.cloudlab.us,7,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,random,2.951452519,2.959867722,Success,3.567
81,fac47ad7-2f91-11ec-8ef2-ecb1d7853a62,hp055.utah.cloudlab.us,8,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,3.03742473,3.048581066,Success,6.788
82,fac47ad7-2f91-11ec-8ef2-ecb1d7853a62,hp055.utah.cloudlab.us,8,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,3.048882904,3.061961239,Success,10.863
83,fac47ad7-2f91-11ec-8ef2-ecb1d7853a62,hp055.utah.cloudlab.us,8,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,3.062260585,3.069549929,Success,1.959
84,fac47ad7-2f91-11ec-8ef2-ecb1d7853a62,hp055.utah.cloudlab.us,8,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,3.069835478,3.079161186,Success,4.886
85,fac47ad7-2f91-11ec-8ef2-ecb1d7853a62,hp055.utah.cloudlab.us,8,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,3.079451421,3.119427251,Success,27.966
86,fac47ad7-2f91-11ec-8ef2-ecb1d7853a62,hp055.utah.cloudlab.us,8,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,3.119723581,3.128051664,Success,3.54
87,fac47ad7-2f91-11ec-8ef2-ecb1d7853a62,hp055.utah.cloudlab.us,8,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,3.12833774,3.14196939,Success,10.433
88,fac47ad7-2f91-11ec-8ef2-ecb1d7853a62,hp055.utah.cloudlab.us,8,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,3.142287635,3.150973301,Success,4.474
89,fac47ad7-2f91-11ec-8ef2-ecb1d7853a62,hp055.utah.cloudlab.us,8,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,3.151252095,3.159544247,Success,3.573
90,ea26434c-2f92-11ec-9026-ecb1d7853a62,hp055.utah.cloudlab.us,9,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,0,random,3.199992101,3.210925286,Success,4.9
91,ea26434c-2f92-11ec-9026-ecb1d7853a62,hp055.utah.cloudlab.us,9,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,1,random,3.211220763,3.219562779,Success,3.562
92,ea26434c-2f92-11ec-9026-ecb1d7853a62,hp055.utah.cloudlab.us,9,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,2,random,3.219846399,3.260121429,Success,27.873
93,ea26434c-2f92-11ec-9026-ecb1d7853a62,hp055.utah.cloudlab.us,9,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,random,3.260434748,3.267759618,Success,1.938
94,ea26434c-2f92-11ec-9026-ecb1d7853a62,hp055.utah.cloudlab.us,9,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,4,random,3.268040142,3.276335838,Success,3.578
96,ea26434c-2f92-11ec-9026-ecb1d7853a62,hp055.utah.cloudlab.us,9,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,6,random,3.304586645,3.31493436,Success,6.791
97,ea26434c-2f92-11ec-9026-ecb1d7853a62,hp055.utah.cloudlab.us,9,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,random,3.315229381,3.328849176,Success,10.403
98,ea26434c-2f92-11ec-9026-ecb1d7853a62,hp055.utah.cloudlab.us,9,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,random,3.329140915,3.33807339,Success,4.533
99,ea26434c-2f92-11ec-9026-ecb1d7853a62,hp055.utah.cloudlab.us,9,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,9,random,3.338358704,3.351428482,Success,10.89
101,ca781f15-2f93-11ec-80ac-ecb1d7853a62,hp055.utah.cloudlab.us,10,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,3.418935349,3.429161418,Success,6.798
102,ca781f15-2f93-11ec-80ac-ecb1d7853a62,hp055.utah.cloudlab.us,10,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,3.429459567,3.44271283,Success,10.901
103,ca781f15-2f93-11ec-80ac-ecb1d7853a62,hp055.utah.cloudlab.us,10,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,3.443007636,3.450379837,Success,1.935
104,ca781f15-2f93-11ec-80ac-ecb1d7853a62,hp055.utah.cloudlab.us,10,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,3.450663092,3.460025968,Success,4.882
105,ca781f15-2f93-11ec-80ac-ecb1d7853a62,hp055.utah.cloudlab.us,10,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,3.460350327,3.500225648,Success,27.732
106,ca781f15-2f93-11ec-80ac-ecb1d7853a62,hp055.utah.cloudlab.us,10,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,3.500533755,3.508829028,Success,3.522
107,ca781f15-2f93-11ec-80ac-ecb1d7853a62,hp055.utah.cloudlab.us,10,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,3.509140939,3.522249354,Success,10.38
108,ca781f15-2f93-11ec-80ac-ecb1d7853a62,hp055.utah.cloudlab.us,10,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,3.522542196,3.531483545,Success,4.475
109,ca781f15-2f93-11ec-80ac-ecb1d7853a62,hp055.utah.cloudlab.us,10,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,3.531769882,3.540029004,Success,3.557
110,aab736f3-2f94-11ec-96fb-ecb1d7853a62,hp055.utah.cloudlab.us,11,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,0,random,3.580824634,3.590737583,Success,3.589
111,aab736f3-2f94-11ec-96fb-ecb1d7853a62,hp055.utah.cloudlab.us,11,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,1,random,3.591028139,3.599876288,Success,4.431
112,aab736f3-2f94-11ec-96fb-ecb1d7853a62,hp055.utah.cloudlab.us,11,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,2,random,3.600170207,3.64015574,Success,27.999
113,aab736f3-2f94-11ec-96fb-ecb1d7853a62,hp055.utah.cloudlab.us,11,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,3,random,3.640451408,3.65438833,Success,10.885
114,aab736f3-2f94-11ec-96fb-ecb1d7853a62,hp055.utah.cloudlab.us,11,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,4,random,3.654680745,3.663015694,Success,3.575
