,run_uuid,hostname,run_num,total_runs,exp_command,exp_number,order_number,order_type,time_start,time_stop,completion_status,result
1,1ea830d1-2f8b-11ec-a2db-ecb1d7853a62,hp055.utah.cloudlab.us,0,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,1.507882778,1.518197903,Success,6.817
2,1ea830d1-2f8b-11ec-a2db-ecb1d7853a62,hp055.utah.cloudlab.us,0,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,1.518497094,1.531723499,Success,10.866
3,1ea830d1-2f8b-11ec-a2db-ecb1d7853a62,hp055.utah.cloudlab.us,0,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,1.532039965,1.539264586,Success,1.934
4,1ea830d1-2f8b-11ec-a2db-ecb1d7853a62,hp055.utah.cloudlab.us,0,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,1.539553905,1.549238537,Success,4.891
5,1ea830d1-2f8b-11ec-a2db-ecb1d7853a62,hp055.utah.cloudlab.us,0,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,1.549542434,1.590245384,Success,27.684
6,1ea830d1-2f8b-11ec-a2db-ecb1d7853a62,hp055.utah.cloudlab.us,0,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,1.590567594,1.598839085,Success,3.501
7,1ea830d1-2f8b-11ec-a2db-ecb1d7853a62,hp055.utah.cloudlab.us,0,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,1.599127717,1.612327342,Success,10.382
8,1ea830d1-2f8b-11ec-a2db-ecb1d7853a62,hp055.utah.cloudlab.us,0,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,1.61264022,1.621385636,Success,4.462
9,1ea830d1-2f8b-11ec-a2db-ecb1d7853a62,hp055.utah.cloudlab.us,0,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,1.621681479,1.629976984,Success,3.573
11,fed7c546-2f8b-11ec-8138-ecb1d7853a62,hp055.utah.cloudlab.us,1,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,1,random,1.697749975,1.705702887,Success,1.958
12,fed7c546-2f8b-11ec-8138-ecb1d7853a62,hp055.utah.cloudlab.us,1,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,2,random,1.705991438,1.746261183,Success,27.783
13,fed7c546-2f8b-11ec-8138-ecb1d7853a62,hp055.utah.cloudlab.us,1,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,3,random,1.746582245,1.759999704,Success,10.887
14,fed7c546-2f8b-11ec-8138-ecb1d7853a62,hp055.utah.cloudlab.us,1,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,random,1.760312251,1.769715891,Success,4.871
15,fed7c546-2f8b-11ec-8138-ecb1d7853a62,hp055.utah.cloudlab.us,1,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,5,random,1.770008999,1.780509069,Success,6.797
16,fed7c546-2f8b-11ec-8138-ecb1d7853a62,hp055.utah.cloudlab.us,1,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,random,1.780800898,1.789125357,Success,3.503
17,fed7c546-2f8b-11ec-8138-ecb1d7853a62,hp055.utah.cloudlab.us,1,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,random,1.789413357,1.802717982,Success,10.375
18,fed7c546-2f8b-11ec-8138-ecb1d7853a62,hp055.utah.cloudlab.us,1,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,random,1.803013043,1.811941235,Success,4.424
19,fed7c546-2f8b-11ec-8138-ecb1d7853a62,hp055.utah.cloudlab.us,1,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,random,1.812230563,1.820601118,Success,3.57
21,df0abd2a-2f8c-11ec-b2d4-ecb1d7853a62,hp055.utah.cloudlab.us,2,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,1.888889985,1.899388516,Success,6.861
22,df0abd2a-2f8c-11ec-b2d4-ecb1d7853a62,hp055.utah.cloudlab.us,2,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,1.899707578,1.912935648,Success,10.838
23,df0abd2a-2f8c-11ec-b2d4-ecb1d7853a62,hp055.utah.cloudlab.us,2,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,1.913261616,1.920608517,Success,1.934
24,df0abd2a-2f8c-11ec-b2d4-ecb1d7853a62,hp055.utah.cloudlab.us,2,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,1.920886885,1.93020418,Success,4.887
25,df0abd2a-2f8c-11ec-b2d4-ecb1d7853a62,hp055.utah.cloudlab.us,2,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,1.93050733,1.970788391,Success,27.841
26,df0abd2a-2f8c-11ec-b2d4-ecb1d7853a62,hp055.utah.cloudlab.us,2,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,1.971159218,1.979563003,Success,3.544
27,df0abd2a-2f8c-11ec-b2d4-ecb1d7853a62,hp055.utah.cloudlab.us,2,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,1.979868108,1.993175862,Success,10.368
28,df0abd2a-2f8c-11ec-b2d4-ecb1d7853a62,hp055.utah.cloudlab.us,2,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,1.993521952,2.00246645,Success,4.465
29,df0abd2a-2f8c-11ec-b2d4-ecb1d7853a62,hp055.utah.cloudlab.us,2,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,2.002764398,2.010994549,Success,3.554
30,bf5a48af-2f8d-11ec-9a0b-ecb1d7853a62,hp055.utah.cloudlab.us,3,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,0,random,2.049954861,2.058979522,Success,1.934
31,bf5a48af-2f8d-11ec-9a0b-ecb1d7853a62,hp055.utah.cloudlab.us,3,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,1,random,2.059282517,2.067765043,Success,3.569
32,bf5a48af-2f8d-11ec-9a0b-ecb1d7853a62,hp055.utah.cloudlab.us,3,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,random,2.068076963,2.081273952,Success,10.846
33,bf5a48af-2f8d-11ec-9a0b-ecb1d7853a62,hp055.utah.cloudlab.us,3,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,3,random,2.081564949,2.121813917,Success,27.831
34,bf5a48af-2f8d-11ec-9a0b-ecb1d7853a62,hp055.utah.cloudlab.us,3,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,random,2.122167589,2.131621545,Success,4.895
35,bf5a48af-2f8d-11ec-9a0b-ecb1d7853a62,hp055.utah.cloudlab.us,3,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,5,random,2.131931486,2.140891577,Success,4.471
36,bf5a48af-2f8d-11ec-9a0b-ecb1d7853a62,hp055.utah.cloudlab.us,3,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,6,random,2.141184113,2.149486716,Success,3.565
37,bf5a48af-2f8d-11ec-9a0b-ecb1d7853a62,hp055.utah.cloudlab.us,3,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,random,2.149783552,2.163136816,Success,10.354
38,bf5a48af-2f8d-11ec-9a0b-ecb1d7853a62,hp055.utah.cloudlab.us,3,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,8,random,2.163457156,2.173809646,Success,6.829
41,9fa196da-2f8e-11ec-901f-ecb1d7853a62,hp055.utah.cloudlab.us,4,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,2.268396973,2.27879323,Success,6.816
42,9fa196da-2f8e-11ec-901f-ecb1d7853a62,hp055.utah.cloudlab.us,4,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,2.279088121,2.292273605,Success,10.882
