run_uuid,hostname,run_num,total_runs,exp_command,exp_number,order_number,order_type,time_start,time_stop,completion_status,result
1ea830d1-2f8b-11ec-a2db-ecb1d7853a62,hp055.utah.cloudlab.us,0,480,/bin/bash ~/os-benchmarks/scripts/run_memory.sh -n 0 -d 1 -b stream -t MT -s 100 -u 200,0,0,fixed,1.479200883,1.507560529,Success,"33884.80,33803.08,37980.29,38236.56"
1ea830d1-2f8b-11ec-a2db-ecb1d7853a62,hp055.utah.cloudlab.us,0,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,1.507882778,1.518197903,Success,6.817
1ea830d1-2f8b-11ec-a2db-ecb1d7853a62,hp055.utah.cloudlab.us,0,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,1.518497094,1.531723499,Success,10.866
1ea830d1-2f8b-11ec-a2db-ecb1d7853a62,hp055.utah.cloudlab.us,0,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,1.532039965,1.539264586,Success,1.934
1ea830d1-2f8b-11ec-a2db-ecb1d7853a62,hp055.utah.cloudlab.us,0,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,1.539553905,1.549238537,Success,4.891
1ea830d1-2f8b-11ec-a2db-ecb1d7853a62,hp055.utah.cloudlab.us,0,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,1.549542434,1.590245384,Success,27.684
1ea830d1-2f8b-11ec-a2db-ecb1d7853a62,hp055.utah.cloudlab.us,0,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,1.590567594,1.598839085,Success,3.501
1ea830d1-2f8b-11ec-a2db-ecb1d7853a62,hp055.utah.cloudlab.us,0,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,1.599127717,1.612327342,Success,10.382
1ea830d1-2f8b-11ec-a2db-ecb1d7853a62,hp055.utah.cloudlab.us,0,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,1.61264022,1.621385636,Success,4.462
1ea830d1-2f8b-11ec-a2db-ecb1d7853a62,hp055.utah.cloudlab.us,0,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,1.621681479,1.629976984,Success,3.573
fed7c546-2f8b-11ec-8138-ecb1d7853a62,hp055.utah.cloudlab.us,1,480,/bin/bash ~/os-benchmarks/scripts/run_memory.sh -n 0 -d 1 -b stream -t MT -s 100 -u 200,0,0,random,1.669490638,1.697459769,Success,"34254.35,34147.39,38418.77,38446.19"
fed7c546-2f8b-11ec-8138-ecb1d7853a62,hp055.utah.cloudlab.us,1,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,1,random,1.697749975,1.705702887,Success,1.958
fed7c546-2f8b-11ec-8138-ecb1d7853a62,hp055.utah.cloudlab.us,1,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,2,random,1.705991438,1.746261183,Success,27.783
fed7c546-2f8b-11ec-8138-ecb1d7853a62,hp055.utah.cloudlab.us,1,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,3,random,1.746582245,1.759999704,Success,10.887
fed7c546-2f8b-11ec-8138-ecb1d7853a62,hp055.utah.cloudlab.us,1,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,random,1.760312251,1.769715891,Success,4.871
fed7c546-2f8b-11ec-8138-ecb1d7853a62,hp055.utah.cloudlab.us,1,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,5,random,1.770008999,1.780509069,Success,6.797
fed7c546-2f8b-11ec-8138-ecb1d7853a62,hp055.utah.cloudlab.us,1,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,random,1.780800898,1.789125357,Success,3.503
fed7c546-2f8b-11ec-8138-ecb1d7853a62,hp055.utah.cloudlab.us,1,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,random,1.789413357,1.802717982,Success,10.375
fed7c546-2f8b-11ec-8138-ecb1d7853a62,hp055.utah.cloudlab.us,1,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,random,1.803013043,1.811941235,Success,4.424
fed7c546-2f8b-11ec-8138-ecb1d7853a62,hp055.utah.cloudlab.us,1,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,random,1.812230563,1.820601118,Success,3.570
df0abd2a-2f8c-11ec-b2d4-ecb1d7853a62,hp055.utah.cloudlab.us,2,480,/bin/bash ~/os-benchmarks/scripts/run_memory.sh -n 0 -d 1 -b stream -t MT -s 100 -u 200,0,0,fixed,1.86059908,1.888534915,Success,"34294.50,34178.50,38489.82,38538.44"
df0abd2a-2f8c-11ec-b2d4-ecb1d7853a62,hp055.utah.cloudlab.us,2,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,1.888889985,1.899388516,Success,6.861
df0abd2a-2f8c-11ec-b2d4-ecb1d7853a62,hp055.utah.cloudlab.us,2,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,1.899707578,1.912935648,Success,10.838
df0abd2a-2f8c-11ec-b2d4-ecb1d7853a62,hp055.utah.cloudlab.us,2,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,1.913261616,1.920608517,Success,1.934
df0abd2a-2f8c-11ec-b2d4-ecb1d7853a62,hp055.utah.cloudlab.us,2,480,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,1.920886885,1.93020418,Success,4.887
