,run_uuid,hostname,run_num,total_runs,exp_command,exp_number,order_number,order_type,time_start,time_stop,completion_status,result
1,fc86150d-2e09-11ec-8391-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,1.307861795,1.318568226,Success,6.828
2,fc86150d-2e09-11ec-8391-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,1.318862817,1.332492792,Success,10.885
3,fc86150d-2e09-11ec-8391-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,1.332786977,1.340388738,Success,1.945
4,fc86150d-2e09-11ec-8391-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,1.340677285,1.350236675,Success,4.904
5,fc86150d-2e09-11ec-8391-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,1.350555181,1.391612664,Success,27.927
6,fc86150d-2e09-11ec-8391-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,1.391934703,1.400476808,Success,3.538
7,fc86150d-2e09-11ec-8391-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,1.400798752,1.414445355,Success,10.4
8,fc86150d-2e09-11ec-8391-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,1.414776225,1.424096938,Success,4.484
9,fc86150d-2e09-11ec-8391-1458d0584f82,hp065.utah.cloudlab.us,0,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,1.424417394,1.433077864,Success,3.573
11,b8233190-2e0a-11ec-8d7d-1458d0584f82,hp065.utah.cloudlab.us,1,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,1.511663437,1.522519192,Success,6.881
12,b8233190-2e0a-11ec-8d7d-1458d0584f82,hp065.utah.cloudlab.us,1,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,1.522832932,1.536414007,Success,10.922
13,b8233190-2e0a-11ec-8d7d-1458d0584f82,hp065.utah.cloudlab.us,1,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,1.536747041,1.544232201,Success,1.961
14,b8233190-2e0a-11ec-8d7d-1458d0584f82,hp065.utah.cloudlab.us,1,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,1.544520673,1.554247053,Success,4.91
15,b8233190-2e0a-11ec-8d7d-1458d0584f82,hp065.utah.cloudlab.us,1,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,1.554549933,1.595809136,Success,28.026
16,b8233190-2e0a-11ec-8d7d-1458d0584f82,hp065.utah.cloudlab.us,1,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,1.59617045,1.604839488,Success,3.519
17,b8233190-2e0a-11ec-8d7d-1458d0584f82,hp065.utah.cloudlab.us,1,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,1.605130686,1.618779421,Success,10.408
18,b8233190-2e0a-11ec-8d7d-1458d0584f82,hp065.utah.cloudlab.us,1,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,1.61907742,1.628281895,Success,4.484
19,b8233190-2e0a-11ec-8d7d-1458d0584f82,hp065.utah.cloudlab.us,1,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,1.628571118,1.637177439,Success,3.587
21,81dbd174-2e0b-11ec-ada4-1458d0584f82,hp065.utah.cloudlab.us,2,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,1.716660043,1.727471699,Success,6.869
22,81dbd174-2e0b-11ec-ada4-1458d0584f82,hp065.utah.cloudlab.us,2,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,1.727773085,1.741804656,Success,10.916
23,81dbd174-2e0b-11ec-ada4-1458d0584f82,hp065.utah.cloudlab.us,2,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,1.742104554,1.749684104,Success,1.95
24,81dbd174-2e0b-11ec-ada4-1458d0584f82,hp065.utah.cloudlab.us,2,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,1.749974645,1.75957718,Success,4.91
25,81dbd174-2e0b-11ec-ada4-1458d0584f82,hp065.utah.cloudlab.us,2,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,1.759874612,1.800833026,Success,27.861
26,81dbd174-2e0b-11ec-ada4-1458d0584f82,hp065.utah.cloudlab.us,2,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,1.801133369,1.809716213,Success,3.531
27,81dbd174-2e0b-11ec-ada4-1458d0584f82,hp065.utah.cloudlab.us,2,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,1.810004429,1.823559438,Success,10.4
28,81dbd174-2e0b-11ec-ada4-1458d0584f82,hp065.utah.cloudlab.us,2,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,1.823860945,1.833043588,Success,4.471
29,81dbd174-2e0b-11ec-ada4-1458d0584f82,hp065.utah.cloudlab.us,2,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,1.833330371,1.841869329,Success,3.584
31,4ab2cfe2-2e0c-11ec-bd22-1458d0584f82,hp065.utah.cloudlab.us,3,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,1.918082221,1.928938607,Success,6.838
32,4ab2cfe2-2e0c-11ec-bd22-1458d0584f82,hp065.utah.cloudlab.us,3,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,1.929282091,1.942848461,Success,10.884
33,4ab2cfe2-2e0c-11ec-bd22-1458d0584f82,hp065.utah.cloudlab.us,3,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,1.943148725,1.950681486,Success,1.967
34,4ab2cfe2-2e0c-11ec-bd22-1458d0584f82,hp065.utah.cloudlab.us,3,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,1.950970835,1.960589245,Success,4.903
35,4ab2cfe2-2e0c-11ec-bd22-1458d0584f82,hp065.utah.cloudlab.us,3,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,1.960887093,2.002019284,Success,27.954
36,4ab2cfe2-2e0c-11ec-bd22-1458d0584f82,hp065.utah.cloudlab.us,3,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,2.002314045,2.010810455,Success,3.506
37,4ab2cfe2-2e0c-11ec-bd22-1458d0584f82,hp065.utah.cloudlab.us,3,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,2.011092953,2.024694174,Success,10.404
38,4ab2cfe2-2e0c-11ec-bd22-1458d0584f82,hp065.utah.cloudlab.us,3,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,2.024991451,2.034600082,Success,4.503
39,4ab2cfe2-2e0c-11ec-bd22-1458d0584f82,hp065.utah.cloudlab.us,3,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,2.034886138,2.043498772,Success,3.577
41,1582cb53-2e0d-11ec-904d-1458d0584f82,hp065.utah.cloudlab.us,4,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,2.122915928,2.134003265,Success,6.866
42,1582cb53-2e0d-11ec-904d-1458d0584f82,hp065.utah.cloudlab.us,4,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,2.134356296,2.147754216,Success,10.891
43,1582cb53-2e0d-11ec-904d-1458d0584f82,hp065.utah.cloudlab.us,4,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,2.148077263,2.155988967,Success,1.944
44,1582cb53-2e0d-11ec-904d-1458d0584f82,hp065.utah.cloudlab.us,4,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,2.156268473,2.165863491,Success,4.907
45,1582cb53-2e0d-11ec-904d-1458d0584f82,hp065.utah.cloudlab.us,4,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,2.166155089,2.207400644,Success,28.02
46,1582cb53-2e0d-11ec-904d-1458d0584f82,hp065.utah.cloudlab.us,4,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,2.207702857,2.216267909,Success,3.532
47,1582cb53-2e0d-11ec-904d-1458d0584f82,hp065.utah.cloudlab.us,4,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,2.216553549,2.230209128,Success,10.418
48,1582cb53-2e0d-11ec-904d-1458d0584f82,hp065.utah.cloudlab.us,4,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,2.230520643,2.239685717,Success,4.47
49,1582cb53-2e0d-11ec-904d-1458d0584f82,hp065.utah.cloudlab.us,4,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,2.239999868,2.24895518,Success,3.597
51,02e7cfa0-2e0e-11ec-9e92-1458d0584f82,hp065.utah.cloudlab.us,5,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,2.318518137,2.329057523,Success,6.821
52,02e7cfa0-2e0e-11ec-9e92-1458d0584f82,hp065.utah.cloudlab.us,5,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,2.329381707,2.343390859,Success,10.852
53,02e7cfa0-2e0e-11ec-9e92-1458d0584f82,hp065.utah.cloudlab.us,5,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,2.343685355,2.351130787,Success,1.951
54,02e7cfa0-2e0e-11ec-9e92-1458d0584f82,hp065.utah.cloudlab.us,5,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,2.351411831,2.360913934,Success,4.911
55,02e7cfa0-2e0e-11ec-9e92-1458d0584f82,hp065.utah.cloudlab.us,5,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,2.361205072,2.40168475,Success,27.856
56,02e7cfa0-2e0e-11ec-9e92-1458d0584f82,hp065.utah.cloudlab.us,5,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,2.401995062,2.41057907,Success,3.569
57,02e7cfa0-2e0e-11ec-9e92-1458d0584f82,hp065.utah.cloudlab.us,5,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,2.410859919,2.424296803,Success,10.414
58,02e7cfa0-2e0e-11ec-9e92-1458d0584f82,hp065.utah.cloudlab.us,5,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,2.424586152,2.433671701,Success,4.495
59,02e7cfa0-2e0e-11ec-9e92-1458d0584f82,hp065.utah.cloudlab.us,5,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,2.433986804,2.442923006,Success,3.583
61,bd7ecc2a-2e0e-11ec-948e-1458d0584f82,hp065.utah.cloudlab.us,6,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,2.522267791,2.53306038,Success,6.871
62,bd7ecc2a-2e0e-11ec-948e-1458d0584f82,hp065.utah.cloudlab.us,6,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,2.533359045,2.546833589,Success,10.865
63,bd7ecc2a-2e0e-11ec-948e-1458d0584f82,hp065.utah.cloudlab.us,6,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,2.547123564,2.55457392,Success,1.943
64,bd7ecc2a-2e0e-11ec-948e-1458d0584f82,hp065.utah.cloudlab.us,6,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,2.554857936,2.564302047,Success,4.914
65,bd7ecc2a-2e0e-11ec-948e-1458d0584f82,hp065.utah.cloudlab.us,6,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,2.564592197,2.605360944,Success,27.9
66,bd7ecc2a-2e0e-11ec-948e-1458d0584f82,hp065.utah.cloudlab.us,6,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,2.605662671,2.614190823,Success,3.529
67,bd7ecc2a-2e0e-11ec-948e-1458d0584f82,hp065.utah.cloudlab.us,6,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,2.614474243,2.627966583,Success,10.399
68,bd7ecc2a-2e0e-11ec-948e-1458d0584f82,hp065.utah.cloudlab.us,6,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,2.628273682,2.637425527,Success,4.468
69,bd7ecc2a-2e0e-11ec-948e-1458d0584f82,hp065.utah.cloudlab.us,6,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,2.637739067,2.64626589,Success,3.597
71,883a3b7f-2e0f-11ec-9b39-1458d0584f82,hp065.utah.cloudlab.us,7,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,2.724150986,2.734857343,Success,6.829
72,883a3b7f-2e0f-11ec-9b39-1458d0584f82,hp065.utah.cloudlab.us,7,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,2.735147157,2.74895882,Success,10.936
73,883a3b7f-2e0f-11ec-9b39-1458d0584f82,hp065.utah.cloudlab.us,7,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,2.749253075,2.756762058,Success,1.967
74,883a3b7f-2e0f-11ec-9b39-1458d0584f82,hp065.utah.cloudlab.us,7,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,2.757046345,2.767021834,Success,4.907
75,883a3b7f-2e0f-11ec-9b39-1458d0584f82,hp065.utah.cloudlab.us,7,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,2.767332101,2.808839052,Success,27.984
76,883a3b7f-2e0f-11ec-9b39-1458d0584f82,hp065.utah.cloudlab.us,7,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,2.809159051,2.817666334,Success,3.52
77,883a3b7f-2e0f-11ec-9b39-1458d0584f82,hp065.utah.cloudlab.us,7,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,2.817961365,2.831423889,Success,10.417
78,883a3b7f-2e0f-11ec-9b39-1458d0584f82,hp065.utah.cloudlab.us,7,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,2.831711543,2.840770904,Success,4.515
79,883a3b7f-2e0f-11ec-9b39-1458d0584f82,hp065.utah.cloudlab.us,7,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,2.841057216,2.849432871,Success,3.582
81,52f0c31d-2e10-11ec-8a97-1458d0584f82,hp065.utah.cloudlab.us,8,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,2.928695398,2.939365497,Success,6.858
82,52f0c31d-2e10-11ec-8a97-1458d0584f82,hp065.utah.cloudlab.us,8,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,2.939668577,2.953210843,Success,10.904
83,52f0c31d-2e10-11ec-8a97-1458d0584f82,hp065.utah.cloudlab.us,8,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,2.953501796,2.96095919,Success,1.945
84,52f0c31d-2e10-11ec-8a97-1458d0584f82,hp065.utah.cloudlab.us,8,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,2.961243096,2.970740079,Success,4.911
85,52f0c31d-2e10-11ec-8a97-1458d0584f82,hp065.utah.cloudlab.us,8,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,2.97103301,3.012148659,Success,27.841
86,52f0c31d-2e10-11ec-8a97-1458d0584f82,hp065.utah.cloudlab.us,8,120,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,3.012475409,3.021040758,Success,3.571
